Serial No.,Timestamp (yyyy-MM-dd HH:mm:ss.SSS),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
54,2026-02-19 12:47:01.317,1.3969501,6.1780505,8.6980505,-0.22165,0.1843875,0.3839
55,2026-02-19 12:47:01.318,1.3780501,6.26595,8.39805,-0.22165,0.1843875,0.3839
56,2026-02-19 12:47:01.334,1.5169501,6.23295,8.09895,-0.22165,0.1843875,0.3839
57,2026-02-19 12:47:01.335,1.8180001,6.1729503,7.9150505,-0.22165,0.1843875,0.3839
58,2026-02-19 12:47:01.337,2.1060002,6.16305,7.73505,-0.22165,0.1843875,0.3839
59,2026-02-19 12:47:01.338,2.1060002,6.16305,7.73505,-0.2728,-0.1678875,0.3839
60,2026-02-19 12:47:01.400,2.1679502,6.1249504,7.6990504,-0.2728,-0.1678875,0.3839
61,2026-02-19 12:47:01.401,2.06205,6.0010505,7.80495,-0.2728,-0.1678875,0.3839
62,2026-02-19 12:47:01.402,2.08605,5.9170504,8.058001,-0.2728,-0.1678875,0.3839
63,2026-02-19 12:47:01.404,2.26095,5.8429503,8.42895,-0.2728,-0.1678875,0.3839
64,2026-02-19 12:47:01.405,2.4790502,5.7060003,8.710051,-0.2728,-0.1678875,0.3839
65,2026-02-19 12:47:01.418,2.6470501,5.577,8.88,-0.2728,-0.1678875,0.3839
66,2026-02-19 12:47:01.419,2.6560502,5.5339503,8.944051,-0.2728,-0.1678875,0.3839
67,2026-02-19 12:47:01.420,2.4720001,5.5270505,8.841001,-0.2728,-0.1678875,0.3839
68,2026-02-19 12:47:01.421,2.4720001,5.5270505,8.841001,-0.09295,-0.3169375,-0.1354375
69,2026-02-19 12:47:01.434,2.2759502,5.57205,8.712001,-0.09295,-0.3169375,-0.1354375
70,2026-02-19 12:47:01.479,2.09805,5.73705,8.547,-0.09295,-0.3169375,-0.1354375
71,2026-02-19 12:47:01.480,1.8679501,5.8380003,8.158951,-0.09295,-0.3169375,-0.1354375
72,2026-02-19 12:47:01.481,1.65495,5.859,7.7140503,-0.09295,-0.3169375,-0.1354375
73,2026-02-19 12:47:01.481,1.5450001,5.919,7.4770503,-0.09295,-0.3169375,-0.1354375
74,2026-02-19 12:47:01.496,1.50195,5.9100003,7.3999505,-0.09295,-0.3169375,-0.1354375
75,2026-02-19 12:47:01.497,1.4470501,5.8500004,7.4599504,-0.09295,-0.3169375,-0.1354375
76,2026-02-19 12:47:01.499,1.3630501,5.8500004,7.60305,-0.09295,-0.3169375,-0.1354375
77,2026-02-19 12:47:01.499,1.3630501,5.8500004,7.60305,0.1390125,-0.1508375,-0.3014
78,2026-02-19 12:47:01.533,1.404,5.9359503,7.8430505,0.1390125,-0.1508375,-0.3014
79,2026-02-19 12:47:01.534,1.46595,5.98605,7.9630504,0.1390125,-0.1508375,-0.3014
